tag,conteudo,saida

DESEMBARGADOR, Des  Marcio Murilo da Cunha Ramos,0

DESEMBARGADOR, Dr a   Joao Batista Barbosa,0

DESEMBARGADOR, Des  Marcos Cavalcanti de Albuquerque,0

DESEMBARGADOR, Des  Jose Ricardo Porto,0

DESEMBARGADOR, Des  Leandro dos Santos,0

DESEMBARGADOR, Des  Oswaldo Trigueiro do Valle Filho,0

DESEMBARGADOR, Dr  Marcos William de Oliveira,0

DESEMBARGADOR, Des  Marcos Cavalcanti de Albuquerque  integrante da 3  Camara Civel  Agravante  Banco BMGS A  Agravado   GV Correspondente Brasil Ltda   EPP   intimando a agravada na pessoa dos Beis  FRACISCO ALVES DE VASCONCELOS OAB PE 12 441  e JOSE FRANCISCO ARRUDA ALVES DE VASCONCELOS OAB  PE 23 242   para  querendo  manifestar se  por meio eletronico  sobre o agravo interno  no prazo de 15 dias em conformidade com termos do art  1 021   2   do CPC 2015  Gerencia de Processamento  aos 28 de Fevereiro de 2018 ,1

DESEMBARGADOR, Des  Romero Marcelo da Fonseca Oliveira,0

DESEMBARGADOR, Desa  Maria das Gracas Morais Guedes,0

DESEMBARGADOR, Des  Joao Alves da Silva,0

DESEMBARGADOR, Dr a   Tercio Chaves de Moura,0

DESEMBARGADOR, Des  Arnobio Alves Teodosio,0

DESEMBARGADOR, Des  Joao Benedito da Silva,0

DESEMBARGADOR, Des  Arnobio Alves Teodosio  Fez sustentacao oral o Adv  Francisco das Chagas Ferreira   Cota   O autor do pedido de vista esgotara o prazo regimental  ,1

DESEMBARGADOR, Des  Frederico Martinho da Nobrega Coutinho,0

DESEMBARGADOR, Des  Carlos Martins Beltrao Filho,0

DESEMBARGADOR, Dr a   Aluizio Bezerra Filho,0

DESEMBARGADOR, Des  Marcos Cavalcanti de Albuquerque AGRAVO N  0000636 38 2015 815 1071  ORIGEM  REGISTRO DE ACORDAOS E DECISOE  RELATOR  Des  Marcos Cavalcanti de Albuquerque  AGRAVANTE  Bradesco Cia de Seguros S a   AGRAVANTE  Bruno Vieira de Lemos   ADVOGADO  Antonio Eduardo Goncalves de Rueda ¿ Oab pb N  20 282 a e ADVOGADO  Abraao Costa Florencio de Carvalho ¿ Oab pb N  12 904  AGRAVADO  Os Mesmos  ADVOGADO  Os Mesmos  EMENTA  AGRAVO INTERNO  ACAO DE COBRANCA DE SEGURO OBRIGATORIO  DPVAT   DECISAO MONOCRATICA QUE DEU PROVIMENTO A APELACAO INTERPOSTA PELA SEGURADORA  IRRESIGNACOES  1  AGRAVO INTERNO  AUSENCIA DE NEXO CAUSAL  INOCORRENCIA  LAUDO E PERICIA MEDICA APONTAM PARA DEBILIDADE NO MEMBRO INFERIOR DO AUTOR  DESPROVIMENTO  2  AGRAVO INTERNO  DEBILIDADE DE MEMBRO INFERIOR  PERDA PARCIAL DA FUNCAO  INDENIZACAO PROPORCIONAL  QUANTUM INDE  NIZATORIO CORRIGIDO  INTELIGENCIA DA SUMULA STJ N  474 E DA LEI N  6 194 74 E SUAS ALTERACOES  PROVIMENTO PARCIAL    Sumula STJ n  474  A indenizacao do seguro DPVAT  em caso de invalidez parcial do beneficiario  sera paga de forma proporcional ao grau de invalidez  Vistos  relatados e discutidos os presentes autos acima identificados  Acordam os desembargadores da Terceira Camara Civel do Tribunal de Justica  por unanimi  dade  em negar provimento ao primeiro agravo interno e dar provimento parcial ao segundo agravo interno  AGRAVO N  0000854 03 2014 815 1071  ORIGEM  Gabinete do Desembargador Marcos Cavalcanti de Albuquer  que  RELATOR  Des  Marcos Cavalcanti de Albuquerque  AGRAVANTE  Bradesco Cia de Seguros S a   AGRA  VANTE  Vicente Valerio dos Santos   ADVOGADO  Antonio Eduardo Goncalves de Rueda ¿ Oab pb N  20 282 a e ADVOGADO  Abraao Costa Florencio de Carvalho ¿ Oab pb N  12 904  AGRAVADO  Os Mesmos  ADVOGADO  Os Mesmos  EMENTA  AGRAVO INTERNO  ACAO DE COBRANCA DE SEGURO OBRIGATORIO  DPVAT   DECISAO MONOCRATICA QUE DEU PROVIMENTO PARCIAL A APELACAO INTERPOSTA PELA SEGURADO  RA E NEGOU PROVIMENTO AO RECURSO ADESIVO DO AUTOR  IRRESIGNACAO  1  AGRAVO INTERNO  ACAO INTERPOSTA DENTRO DO PRAZO LEGAL  PRESCRICAO  INOCORRENCIA  INTELIGENCIA DA SUMU  LA STJ N  405  DESPROVIMENTO  2  AGRAVO INTERNO  DEBILIDADE DE MEMBRO INFERIOR  PERDA PARCIAL DA FUNCAO  INDENIZACAO PROPORCIONAL  QUANTUM INDENIZATORIO CORRIGIDO  INTELI  GENCIA DA SUMULA STJ N  474 E DA LEI N  6 194 74 E SUAS ALTERACOES  PROVIMENTO PARCIAL    Sumula STJ n  405  A acao de cobranca do seguro obrigatorio  DPVAT  prescreve em tres anos    Sumula STJ n  474  A indenizacao do seguro DPVAT  em caso de invalidez parcial do beneficiario  sera paga de forma proporcional ao grau de invalidez  Vistos  relatados e discutidos os presentes autos acima identificados  Acordam os desembargadores da Terceira Camara Civel do Tribunal de Justica  por unanimidade  em rejeitar a prejudicial de prescricao e  no merito  por igual votacao  negar provimento ao primeiro agravo e dar provimento parcial ao segundo agravo  AGRAVO N  0006731 44 2014 815 2001  ORIGEM  REGISTRO DE ACORDAOS E DECISOE  RELATOR  Des  Marcos Cavalcanti de Albuquerque  AGRAVANTE  Marcos Celio Gomes de Farias   AGRAVADO  Estado da Paraiba  Rep  Por Seu Procurador geral   ADVOGADO  Procurador geral Gilberto Carneiro da Gama  EMENTA  AGRAVO INTERNO   DECISAO MONOCRATICA QUE NEGOU PROVIMENTO A APELACAO CIVEL   NULIDA  DE DO CONTRATO FIRMADO PELA ADMINISTRACAO SEM A PREVIA APROVACAO DA PARTE   DIREITO AO FGTS POR TODO PERIODO TRABALHADO   ACAO AJUIZADA ANTES DO ARE 709 2012 STF   POSSIBILI  DADE   PROVIMENTO DO AGRAVO INTERNO  Vistos  relatados e discutidos os presentes autos acima identificados  Acordam os desembargadores da Terceira Camara Civel do Tribunal de Justica  por unanimidade  em dar provimento ao agravo interno ,1

DESEMBARGADOR, Des  Saulo Henriques de Sa Benevides,0

DESEMBARGADOR, Des  Luiz Silvio Ramalho Junior,0

DESEMBARGADOR, Des  Abraham Lincoln da Cunha Ramos,0

DESEMBARGADOR, Desa  Maria de Fatima Moraes Bezerra Cavalcanti,0

DESEMBARGADOR, Dr a   Gustavo Leite Urquiza,0

