tag,conteudo,saida

RELATOR, RELATOR  EXMO  SR  DES  MARCIO MURILO DA CUNHA RAMOS  Agravante  ROMULO DE SOUZA BATISTA  Adv   Marcio Edoardo de Florencio e Silva  OAB RN n  16 206   Agravada  Justica Publica ,1

RELATOR, RELATOR  EXMO  SR  DES  SAULO HENRIQUES DE SA E BENEVIDES  Requerente  Ministerio Publico do Estado da Paraiba  Requerido  Munici  pio de Cruz do Espirito Santo PB   Adv  Newton Nobel Sobreira Vita   OAB PB 10 204   Obs   Impedido o Exmo  Sr  Des  Oswaldo Trigueiro do Valle Filho   ID 189234 189235 DECISAO  “JULGOU SE PROCEDENTE O PEDIDO PARA DECLARAR A INCONSTITUCIONALIDADE DOS ARTIGOS 1   2  E 3  DA LEI N  467 1997  DO MUNICIPIO DE CRUZ DO ESPIRITO SANTO  MODULANDO OS EFEITOS DESTA DECISAO PARA 180 DIAS  APOS AS COMUNICACOES DE ESTILO  POR UNANIMIDADE  NOS TERMOS DO VOTO DO RELATOR ”   Pje 2  ,1

RELATOR, RELA  TOR  EXMO  SR  DES  ARNOBIO ALVES TEODOSIO  REVISOR  EXMO  SR  DR  JOAO BATISTA BARBOSA  JUIZ CONVOCADO  COM JURISDICAO LIMITADA  PARA SUBSTITUIR O EXMO  SR  DES  JOAO BENEDI  TO DA SILVA   Requerente  Erivan Fausto de Albuquerque  Advs  Fernando Erick Queiroz de Carvalho   OAB  PB 20 189  Marcos Alanio Martins Vaz   OAB PB 5373 e Marcos Alanio Martins Vaz Filho   OAB PB 24 591   Requerida  Justica Publica  COTA  “ADIADO PARA A PROXIMA SESSAO  EM FACE DA AUSENCIA JUSTIFI  CADA DO REVISOR ”   Pje 5     Acao Direta de Inconstitucionalidade  Pedido de liminar  n  0803289  21 2017 8 15 0000  RELATOR  EXMO  SR  DES  SAULO HENRIQUES DE SA E BENEVIDES  Requerente  Federacao Brasileira de Hospedagem e Alimentacao   FBHA   Advs  Samuel Carvalho Gaudencio   OAB PB 11 774 e outro  Requerido  1  Estado da Paraiba  representado pelo Procurador Geral GILBERTO CARNEIRO DA GAMA  2  Assembleia Legislativa do Estado da Paraiba  Obs   Averbou suspeicao o Exmo  Sr  Desembar  gador Marcos Cavalcanti de Albuquerque  ID 1651580   art  40 do R I T J PB   DECISAO  “MEDIDA LIMINAR DEFERIDA  UNANIME  NOS TERMOS DO VOTO DO RELATOR ”   Pje 6     Acao Direta de Inconstitucionali  dade n  0802321 25 2016 8 15 0000  Requerente  Ministerio Publico do Estado da Paraiba  RELATOR  EXMO  SR  DES  SAULO HENRIQUES DE SA E BENEVIDES  Requerido  Municipio de Joao Pessoa  representado pelo Procurador Geral ADELMAR AZEVEDO REGIS  Interessado  Estado da Paraiba  representado pelo Procurador Geral GILBERTO CARNEIRO DA GAMA  DECISAO  “PRELIMINAR SUSCITADA PELO PREFEITO REJEITADA  UNANIME  NO MERITO  JULGOU SE PROCEDENTE O PEDIDO  COM EFICACIA EX NUNC  APOS A PUBLICACAO DO ACORDAO  CONTRA O VOTO DO DESEMBARGADOR MARCIO MURILO DA CUNHA RAMOS  QUE APLICAVA EFEITOS EX TUNC ”  ,1

RELATOR, RELATORA  EXMA  SRA  DESA  MARIA DE FATIMA MORAES BEZERRA CAVALCANTI  Agravantes  Everaldo Dutra Barbosa da Silva e outros  Advs  Amanda Borba Dutra   OAB PB n  19 994 e Igor Felipe Pereira dos Santos   OAB PB 17 268   Agravado  PBPREV   Paraiba Previdencia  representada pelo Procurador Chefe JOVELINO CAROLINO DELGADO NETO   OAB PB 17 281   Advs  Jonathas da Silva Simoes   OAB PB 16 797 e outros   COTA  “ADIADO PARA A PROXIMA SESSAO  POR INDICACAO DA RELATORA ”   Pje 8    ,1

RELATOR, RELATOR  EXMO  SR  DES  SAULO HENRI  QUES DE SA E BENEVIDES  Requerente  Municipio de Sao Bento  representado pelo Prefeito Constitucional   Adv Cicero Pedro da Silva Filho   OAB PB 19 196   Requerida  Camara Municipal de Sao Bento  DECISAO  “MEDIDA LIMINAR DEFERIDA  UNANIME  NOS TERMOS DO VOTO DO RELATOR ”  Pje 10   Revisao Crimi  nal n  080336 57 2017 8 15 0000  RELATOR  EXMO  SR  DR  JOAO BATISTA BARBOSA  JUIZ CONVOCADO  COM JURISDICAO LIMITADA  PARA SUBSTITUIR O EXMO  SR  DES  JOAO BENEDITO DA SILVA   REVI  SOR  EXMO  SR  DES  CARLOS MARTINS BELTRAO FILHO  Requerente  Severino dos Ramos Leite da Silva  Advs  Eriberto da Costa Neves   OAB PB 12 010   Requerida  Justica Publica  COTA  “ADIADO PARA A PROXIMA SESSAO  EM FACE DA AUSENCIA JUSTIFICADA DO RELATOR ”   Pje 11    ,1
