tag,conteudo,saida

TIPODEENUNCIADO, ATOS DO GABINETE DA PRESIDENCIA,0

TIPODEENUNCIADO, ATOS DA DIRETORIA DE GESTAO DE PESSOAS,0

TIPODEENUNCIADO, DESPACHOS DA PRESIDENCIA,0

TIPODEENUNCIADO, ATOS DA DIRETORIA ESPECIAL COMUNICADO   O Diretor Especial do Tribunal de Justica do Estado da Paraiba  tendo em vista o inciso IV do Ato da Presidencia n  24  de 03 de fevereiro de 2015  editado por forca do contido no art  12  II  da Lei 9 316  de 29 de dezembro de 2010  comunica aos Senhores Advogados  Partes e Pessoas interessadas a escala do Plantao Judiciario do Primeiro Grau  nos dias e nos Grupos abaixo ,0

TIPODEENUNCIADO, DESPACHOS DOS AS  DESEMBARGADORES AS ,0

TIPODEENUNCIADO, JULGADOS DO TRIBUNAL PLENO Des  Joas de Brito Pereira Filho   Presidente,0

TIPODEENUNCIADO, JULGADOS DA SEGUNDA SECAO ESPECIALIZADA CIVEL,0

TIPODEENUNCIADO, JULGADOS DA TERCEIRA CAMARA ESPECIALIZADA CIVEL,0

TIPODEENUNCIADO, JULGADOS DA QUARTA CAMARA ESPECIALIZADA CIVEL,0

TIPODEENUNCIADO, JULGADOS DA CAMARA ESPECIALIZADA CRIMINAL,0

TIPODEENUNCIADO, PAUTA DE JULGAMENTO DA CAMARA ESPECIALIZADA CRIMINAL 13  SESSAO ORDINARIA  08 DE MARCO DE 2018   QUINTA FEIRA   09 00 HORAS,0

TIPODEENUNCIADO, ATA DE JULGAMENTO DA CAMARA ESPECIALIZADA CRIMINAL,0

TIPODEENUNCIADO, ATA DE DISTRIBUICAO,0

TIPODEENUNCIADO, NOTAS DE FORO,0

TIPODEENUNCIADO, PUBLICACOES DO SISCOM WEB   EDITAIS DE PRIMEIRO GRAU,0

TIPODEENUNCIADO, EDITAIS,0

TIPODEENUNCIADO, ATOS DA DEFENSORIA PUBLICA GERAL,0

TIPODEENUNCIADO, ATOS DO GABINETE DA PRESIDENCIA O Presidente do Tribunal de Justica do Estado da Paraiba  faz publicar abaixo  em estrito cumprimento ao disposto no art  3   III  da Resolucao n  34  do Tribunal de Justica do Estado da Paraiba  de 18 de novembro de 2009  c c o art  3   III  da Resolucao 73  do Conselho Nacional de Justica  de 28 de abril de 2009  a relacao das diarias concedidas a servidores e magistrados integrantes do Tribunal ,0

TIPODEENUNCIADO, ATOS DA DIRETORIA ESPECIAL,0

TIPODEENUNCIADO, DESPACHOS DA VICE PRESIDENCIA O Excelentissimo Senhor Desembargador Joao Benedito da Silva  Vice Presidente do Tribunal de Justica do Estado da Paraiba DETERMINOU a PUBLICACAO dos seguintes processos ,0

TIPODEENUNCIADO, RESOLUCOES DO CONSELHO DA MAGISTRATURA,0

TIPODEENUNCIADO, ATOS DO GABINETE DA PRESIDENCIA ERRATA  ,0

