tag,conteudo,saida

TIPODEPROCESSO, INTIMACAO AS PARTES,0

TIPODEPROCESSO, PAUTA SUPLEMENTAR,0

TIPODEPROCESSO, LICENCA PARA TRATAMENTO DE SAUDE,0

TIPODEPROCESSO, LICENCA MATERNIDADE,0

TIPODEPROCESSO, LICENCA PATERNIDADE,0

TIPODEPROCESSO, LICENCA OBITO,0

TIPODEPROCESSO, INTIMACAO AS PARTES INTIMACAO AO ADVOGADO JOHNSON GONCALVES DE ABRANTES  OAB PB 1 663   para tomar conhecimen  to do despacho proferido no rosto da peticao n 9992018p045729  nos autos da Acao Penal n   0004050  88 2007 815 0371 ,1

TIPODEPROCESSO, PAUTA ORDINARIA,0

TIPODEPROCESSO, INTIMACAO AS PARTES PROCESSO JUDICIAL ELETRONICO ,0

TIPODEPROCESSO, INTIMACAO AS PARTES EDITAL DE CITACAO COM O PRAZO DE 20  VINTE  DIAS  O EXCELENTISSIMO SENHOR DESEMBARGADOR CARLOS MARTINS BELTRAO FILHO  RELATOR DA ACAO PENAL N  0001215 27 2017 815 0000  EM VIRTU  DE DE LEI ETC  FAZ SABER a todos quantos virem o presente Edital  dele conhecimento tiverem ou a quem interessar possa  que tramita perante este Egregio Tribunal de Justica a Acao Penal acima indicada  contendo denuncia formulada pelo representante legal do Ministerio Publico Estadual contra o reu JOSE MILTON FERREI  RA DE PAIVA  brasileiro  filho de Severina Ferreira de Paiva  nascido em 13 10 1967  portador do CPF n  455 469 595 68  atualmente em lugar incerto e nao sabido  o qual foi denunciado como incurso nas sancoes do Art  90 da Lei n  8 666 93 c c art  299 do Codigo Penal  todos na forma dos arts  29 e 69 do Codigo Penal  Manda expedir o presente EDITAL com a finalidade de CITAR o referido acusado  para  no prazo de 05  cinco  dias  compareca ao Tribunal de Justica do Estado da Paraiba  situado na Praca Joao Pessoa  s n  centro  nesta Capital  com a finalidade de apresentar resposta escrita  aos termos da acusacao que lhe pesa  no prazo de 15  quinze  dias  nos autos do processo em epigrafe  de conformidade com o art  4    2  da Lei n  8 038 90  com aplicabilidade atribuida aos Tribunais Estaduais pela Lei 8 658 de 26 de maio de 1993  Nao apresentada a resposta no prazo legal  sera nomeado Defensor Publico para o referido fim  DADO e PASSADO na Diretoria Judiciaria do Tribunal de Justica do Estado da Paraiba  em Joao Pessoa  aos 23  vinte e tres  dias do mes de marco do ano de 2018  dois mil e dezoito   Eu  Maria Celeste Angelo de Vasconcelos  Supervisora  digitei o  fiz imprimir e assino  Desembargador Carlos Martins Beltrao Filho  Relator  EDITAL DE CITACAO COM O PRAZO DE 20  VINTE  DIAS  O EXCELENTISSIMO SENHOR DESEMBARGADOR CARLOS MARTINS BELTRAO FILHO  RELATOR DA ACAO PENAL N  0001215 27 2017 815 0000  EM VIRTU  DE DE LEI ETC  FAZ SABER a todos quantos virem o presente Edital  dele conhecimento tiverem ou a quem interessar possa  que tramita perante este Egregio Tribunal de Justica a Acao Penal acima indicada  contendo denuncia formulada pelo representante legal do Ministerio Publico Estadual contra o reu FAGNER PAULINO CARNEIRO  brasileiro  filho de Margarida Paulino Carneiro  nascido em 18 04 1986  portador do CPF n  036 201 941  20  atualmente em lugar incerto e nao sabido  o qual foi denunciado como incurso nas sancoes do Art  90 da Lei n  8 666 93 c c art  299 do Codigo Penal  todos na forma dos arts  29 e 69 do Codigo Penal  Manda expedir o presente EDITAL com a finalidade de CITAR o referido acusado  para  no prazo de 05  cinco  dias  compareca ao Tribunal de Justica do Estado da Paraiba  situado na Praca Joao Pessoa  s n  centro  nesta Capital  com a finalidade de apresentar resposta escrita  aos termos da acusacao que lhe pesa  no prazo de 15  quinze  dias  nos autos do processo em epigrafe  de conformidade com o art  4    2  da Lei n  8 038 90  com aplicabilidade atribuida aos Tribunais Estaduais pela Lei 8 658 de 26 de maio de 1993  Nao apresentada a resposta no prazo legal  sera nomeado Defensor Publico para o referido fim  DADO e PASSADO na Diretoria Judiciaria do Tribunal de Justica do Estado da Paraiba  em Joao Pessoa  aos 23  vinte e tres  dias do mes de marco do ano de 2018  dois mil e dezoito   Eu  Maria Celeste Angelo de Vasconcelos  Supervisora  digitei o  fiz imprimir e assino  Desembargador Carlos Martins Beltrao Filho  Relator  EDITAL DE CITACAO COM O PRAZO DE 20  VINTE  DIAS  O EXCELENTISSIMO SENHOR DESEMBARGADOR CARLOS MARTINS BELTRAO FILHO  RELATOR DA ACAO PENAL N  0001215 27 2017 815 0000  EM VIRTU  DE DE LEI ETC  FAZ SABER a todos quantos virem o presente Edital  dele conhecimento tiverem ou a quem interessar possa  que tramita perante este Egregio Tribunal de Justica a Acao Penal acima indicada  contendo denuncia formulada pelo representante legal do Ministerio Publico Estadual contra o reu JOSE AUGUSTO MEIRELLES NETO  brasileiro  filho de Tereza Maggy Lira Campos  nascido em 14 07 1971  portador do CPF n  301 065 752 87  atualmente em lugar incerto e nao sabido  o qual foi denunciado como incurso nas sancoes do Art  90 da Lei n  8 666 93 c c art  299 do Codigo Penal  todos na forma dos arts  29 e 69 do Codigo Penal  Manda expedir o presente EDITAL com a finalidade de CITAR o referido acusado  para  no prazo de 05  cinco  dias  compareca ao Tribunal de Justica do Estado da Paraiba  situado na Praca Joao Pessoa  s n  centro  nesta Capital  com a finalidade de apresentar resposta escrita  aos termos da acusacao que lhe pesa  no prazo de 15  quinze  dias  nos autos do processo em epigrafe  de conformidade com o art  4    2  da Lei n  8 038 90  com aplicabilidade atribuida aos Tribunais Estaduais pela Lei 8 658 de 26 de maio de 1993  Nao apresentada a resposta no prazo legal  sera nomeado Defensor Publico para o referido fim  DADO e PASSADO na Diretoria Judiciaria do Tribunal de Justica do Estado da Paraiba  em Joao Pessoa  aos 23  vinte e tres  dias do mes de marco do ano de 2018  dois mil e dezoito   Eu  Maria Celeste Angelo de Vasconcelos  Supervisora  digitei o  fiz imprimir e assino  Desembargador Carlos Martins Beltrao Filho  Relator ,1

TIPODEPROCESSO, LICENCA PARA TRATAMENTO DE SAUDE  ,0

TIPODEPROCESSO, LICENCA PARA ACOMPANHAR TRATAMENTO DE SAUDE EM PESSOA DA FAMILIA  ,0

TIPODEPROCESSO, LICENCA MATERNIDADE  ,0

TIPODEPROCESSO, LICENCA PATERNIDADE  ,0

TIPODEPROCESSO, LICENCA OBITO  ,0

TIPODEPROCESSO, LICENCA PREMIO   GOZO  ,0

TIPODEPROCESSO, LICENCA PREMIO   CONCESSAO  ,0

TIPODEPROCESSO, DIA  23 DE MAIO DE 2018,0

TIPODEPROCESSO, DIA  12 DE JUNHO DE 2018,0

TIPODEPROCESSO, DIA  13 DE JUNHO DE 2018,0

TIPODEPROCESSO, DIA  14 DE JUNHO DE 2018,0

TIPODEPROCESSO, DIA  19 DE JUNHO DE 2018,0

TIPODEPROCESSO, DIA  20 DE JUNHO DE 2018,0

TIPODEPROCESSO, DIA  21 DE JUNHO DE 2018,0

TIPODEPROCESSO, DIA  03 DE JULHO DE 2018,0

TIPODEPROCESSO, DIA  31 DE JULHO DE 2018,0

